"File_251217_143205.spc - RawData"
"Wavelength nm.","Abs."
596.00,0.704
597.00,0.699
598.00,0.694
599.00,0.690
600.00,0.685
601.00,0.680
602.00,0.676
603.00,0.671
604.00,0.666
605.00,0.661
606.00,0.657
607.00,0.652
608.00,0.647
609.00,0.643
610.00,0.638
611.00,0.634
612.00,0.629
613.00,0.625
614.00,0.620
615.00,0.616
616.00,0.611
617.00,0.606
618.00,0.602
619.00,0.598
620.00,0.593
621.00,0.589
622.00,0.585
623.00,0.580
624.00,0.576
625.00,0.571
626.00,0.567
627.00,0.562
628.00,0.558
629.00,0.554
630.00,0.550
631.00,0.546
632.00,0.541
633.00,0.537
634.00,0.533
635.00,0.529
636.00,0.524
637.00,0.520
638.00,0.516
639.00,0.513
640.00,0.509
641.00,0.505
642.00,0.501
643.00,0.497
644.00,0.493
645.00,0.490
646.00,0.486
647.00,0.482
648.00,0.479
649.00,0.475
650.00,0.471
651.00,0.468
652.00,0.464
653.00,0.460
654.00,0.456
655.00,0.453
656.00,0.449
657.00,0.445
658.00,0.441
659.00,0.438
660.00,0.434
661.00,0.430
662.00,0.427
663.00,0.423
664.00,0.419
665.00,0.416
666.00,0.412
667.00,0.408
668.00,0.405
669.00,0.401
670.00,0.398
671.00,0.394
672.00,0.390
673.00,0.387
674.00,0.383
675.00,0.380
676.00,0.376
677.00,0.373
678.00,0.370
679.00,0.366
680.00,0.363
681.00,0.360
682.00,0.356
683.00,0.353
684.00,0.350
685.00,0.346
686.00,0.343
687.00,0.340
688.00,0.337
689.00,0.334
690.00,0.331
691.00,0.328
692.00,0.324
693.00,0.322
694.00,0.319
695.00,0.316
696.00,0.313
697.00,0.310
698.00,0.307
699.00,0.304
700.00,0.301
701.00,0.298
702.00,0.295
703.00,0.293
704.00,0.290
705.00,0.287
706.00,0.284
707.00,0.281
708.00,0.279
709.00,0.276
710.00,0.273
711.00,0.270
712.00,0.267
713.00,0.265
714.00,0.262
715.00,0.259
716.00,0.257
717.00,0.254
718.00,0.251
719.00,0.249
720.00,0.246
721.00,0.244
722.00,0.241
723.00,0.239
724.00,0.236
725.00,0.234
726.00,0.231
727.00,0.229
728.00,0.226
729.00,0.224
730.00,0.222
731.00,0.219
732.00,0.217
733.00,0.215
734.00,0.212
735.00,0.210
736.00,0.208
737.00,0.205
738.00,0.203
739.00,0.201
740.00,0.199
741.00,0.197
742.00,0.195
743.00,0.193
744.00,0.191
745.00,0.188
746.00,0.186
747.00,0.184
748.00,0.182
749.00,0.180
750.00,0.178
751.00,0.176
752.00,0.174
753.00,0.172
754.00,0.170
755.00,0.168
756.00,0.166
757.00,0.164
758.00,0.162
759.00,0.160
760.00,0.159
761.00,0.157
762.00,0.155
763.00,0.153
764.00,0.151
765.00,0.149
766.00,0.147
767.00,0.145
768.00,0.144
769.00,0.142
770.00,0.140
771.00,0.138
772.00,0.137
773.00,0.135
774.00,0.133
775.00,0.132
776.00,0.130
777.00,0.128
778.00,0.127
779.00,0.125
780.00,0.123
781.00,0.122
782.00,0.120
783.00,0.119
784.00,0.117
785.00,0.116
786.00,0.114
787.00,0.113
788.00,0.111
789.00,0.110
790.00,0.108
791.00,0.107
792.00,0.105
793.00,0.104
794.00,0.103
795.00,0.101
796.00,0.100
797.00,0.098
798.00,0.097
799.00,0.096
800.00,0.094
801.00,0.093
802.00,0.091
803.00,0.090
804.00,0.089
805.00,0.087
806.00,0.086
807.00,0.085
808.00,0.084
809.00,0.082
810.00,0.081
811.00,0.080
812.00,0.078
813.00,0.077
814.00,0.076
815.00,0.075
816.00,0.074
817.00,0.072
818.00,0.071
