"File_251217_143931.spc - RawData"
"Wavelength nm.","Abs."
596.00,0.704
597.00,0.699
598.00,0.694
599.00,0.689
600.00,0.685
601.00,0.680
602.00,0.675
603.00,0.671
604.00,0.666
605.00,0.661
606.00,0.657
607.00,0.652
608.00,0.647
609.00,0.643
610.00,0.638
611.00,0.634
612.00,0.629
613.00,0.625
614.00,0.620
615.00,0.616
616.00,0.611
617.00,0.607
618.00,0.602
619.00,0.598
620.00,0.593
621.00,0.589
622.00,0.585
623.00,0.580
624.00,0.576
625.00,0.571
626.00,0.567
627.00,0.563
628.00,0.558
629.00,0.554
630.00,0.550
631.00,0.546
632.00,0.542
633.00,0.537
634.00,0.533
635.00,0.529
636.00,0.525
637.00,0.521
638.00,0.517
639.00,0.513
640.00,0.509
641.00,0.505
642.00,0.501
643.00,0.497
644.00,0.494
645.00,0.490
646.00,0.486
647.00,0.483
648.00,0.479
649.00,0.475
650.00,0.472
651.00,0.468
652.00,0.464
653.00,0.461
654.00,0.457
655.00,0.453
656.00,0.449
657.00,0.446
658.00,0.442
659.00,0.438
660.00,0.435
661.00,0.431
662.00,0.427
663.00,0.424
664.00,0.420
665.00,0.416
666.00,0.412
667.00,0.409
668.00,0.405
669.00,0.402
670.00,0.398
671.00,0.395
672.00,0.391
673.00,0.387
674.00,0.384
675.00,0.380
676.00,0.377
677.00,0.374
678.00,0.370
679.00,0.367
680.00,0.364
681.00,0.360
682.00,0.357
683.00,0.354
684.00,0.350
685.00,0.347
686.00,0.344
687.00,0.341
688.00,0.338
689.00,0.334
690.00,0.331
691.00,0.328
692.00,0.325
693.00,0.322
694.00,0.319
695.00,0.316
696.00,0.313
697.00,0.311
698.00,0.308
699.00,0.305
700.00,0.302
701.00,0.299
702.00,0.296
703.00,0.293
704.00,0.290
705.00,0.288
706.00,0.285
707.00,0.282
708.00,0.279
709.00,0.277
710.00,0.274
711.00,0.271
712.00,0.268
713.00,0.266
714.00,0.263
715.00,0.260
716.00,0.258
717.00,0.255
718.00,0.252
719.00,0.250
720.00,0.247
721.00,0.244
722.00,0.242
723.00,0.239
724.00,0.237
725.00,0.235
726.00,0.232
727.00,0.230
728.00,0.227
729.00,0.225
730.00,0.222
731.00,0.220
732.00,0.218
733.00,0.215
734.00,0.213
735.00,0.211
736.00,0.209
737.00,0.206
738.00,0.204
739.00,0.202
740.00,0.200
741.00,0.198
742.00,0.196
743.00,0.194
744.00,0.191
745.00,0.189
746.00,0.187
747.00,0.185
748.00,0.183
749.00,0.181
750.00,0.179
751.00,0.177
752.00,0.175
753.00,0.173
754.00,0.171
755.00,0.169
756.00,0.167
757.00,0.165
758.00,0.163
759.00,0.161
760.00,0.160
761.00,0.158
762.00,0.156
763.00,0.154
764.00,0.152
765.00,0.150
766.00,0.148
767.00,0.146
768.00,0.144
769.00,0.143
770.00,0.141
771.00,0.139
772.00,0.138
773.00,0.136
774.00,0.134
775.00,0.132
776.00,0.131
777.00,0.129
778.00,0.128
779.00,0.126
780.00,0.124
781.00,0.123
782.00,0.121
783.00,0.120
784.00,0.118
785.00,0.117
786.00,0.115
787.00,0.114
788.00,0.112
789.00,0.111
790.00,0.109
791.00,0.108
792.00,0.106
793.00,0.105
794.00,0.103
795.00,0.102
796.00,0.101
797.00,0.099
798.00,0.098
799.00,0.096
800.00,0.095
801.00,0.094
802.00,0.092
803.00,0.091
804.00,0.090
805.00,0.088
806.00,0.087
807.00,0.086
808.00,0.084
809.00,0.083
810.00,0.082
811.00,0.081
812.00,0.079
813.00,0.078
814.00,0.077
815.00,0.076
816.00,0.075
817.00,0.073
818.00,0.072
