"File_251217_150647.spc - RawData"
"Wavelength nm.","Abs."
596.00,0.053
597.00,0.053
598.00,0.053
599.00,0.052
600.00,0.052
601.00,0.052
602.00,0.051
603.00,0.051
604.00,0.050
605.00,0.050
606.00,0.050
607.00,0.049
608.00,0.049
609.00,0.049
610.00,0.048
611.00,0.048
612.00,0.048
613.00,0.047
614.00,0.047
615.00,0.047
616.00,0.046
617.00,0.046
618.00,0.046
619.00,0.045
620.00,0.045
621.00,0.045
622.00,0.044
623.00,0.044
624.00,0.044
625.00,0.043
626.00,0.043
627.00,0.043
628.00,0.043
629.00,0.042
630.00,0.042
631.00,0.042
632.00,0.041
633.00,0.041
634.00,0.041
635.00,0.040
636.00,0.040
637.00,0.040
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.038
642.00,0.038
643.00,0.038
644.00,0.038
645.00,0.037
646.00,0.037
647.00,0.037
648.00,0.037
649.00,0.036
650.00,0.036
651.00,0.036
652.00,0.036
653.00,0.035
654.00,0.035
655.00,0.035
656.00,0.035
657.00,0.034
658.00,0.034
659.00,0.034
660.00,0.033
661.00,0.033
662.00,0.033
663.00,0.033
664.00,0.032
665.00,0.032
666.00,0.032
667.00,0.032
668.00,0.031
669.00,0.031
670.00,0.031
671.00,0.030
672.00,0.030
673.00,0.030
674.00,0.030
675.00,0.029
676.00,0.029
677.00,0.029
678.00,0.029
679.00,0.028
680.00,0.028
681.00,0.028
682.00,0.028
683.00,0.027
684.00,0.027
685.00,0.027
686.00,0.027
687.00,0.026
688.00,0.026
689.00,0.026
690.00,0.026
691.00,0.025
692.00,0.025
693.00,0.025
694.00,0.025
695.00,0.025
696.00,0.024
697.00,0.024
698.00,0.024
699.00,0.024
700.00,0.023
701.00,0.023
702.00,0.023
703.00,0.023
704.00,0.023
705.00,0.022
706.00,0.022
707.00,0.022
708.00,0.022
709.00,0.021
710.00,0.021
711.00,0.021
712.00,0.021
713.00,0.021
714.00,0.020
715.00,0.020
716.00,0.020
717.00,0.020
718.00,0.020
719.00,0.019
720.00,0.019
721.00,0.019
722.00,0.019
723.00,0.019
724.00,0.019
725.00,0.018
726.00,0.018
727.00,0.018
728.00,0.018
729.00,0.018
730.00,0.017
731.00,0.017
732.00,0.017
733.00,0.017
734.00,0.017
735.00,0.017
736.00,0.016
737.00,0.016
738.00,0.016
739.00,0.016
740.00,0.016
741.00,0.016
742.00,0.016
743.00,0.015
744.00,0.015
745.00,0.015
746.00,0.015
747.00,0.015
748.00,0.015
749.00,0.014
750.00,0.014
751.00,0.014
752.00,0.014
753.00,0.014
754.00,0.014
755.00,0.013
756.00,0.013
757.00,0.013
758.00,0.013
759.00,0.013
760.00,0.013
761.00,0.013
762.00,0.012
763.00,0.012
764.00,0.012
765.00,0.012
766.00,0.012
767.00,0.012
768.00,0.012
769.00,0.012
770.00,0.011
771.00,0.011
772.00,0.011
773.00,0.011
774.00,0.011
775.00,0.011
776.00,0.011
777.00,0.010
778.00,0.010
779.00,0.010
780.00,0.010
781.00,0.010
782.00,0.010
783.00,0.010
784.00,0.010
785.00,0.009
786.00,0.009
787.00,0.009
788.00,0.009
789.00,0.009
790.00,0.009
791.00,0.009
792.00,0.009
793.00,0.009
794.00,0.008
795.00,0.008
796.00,0.008
797.00,0.008
798.00,0.008
799.00,0.008
800.00,0.008
801.00,0.008
802.00,0.007
803.00,0.007
804.00,0.007
805.00,0.007
806.00,0.007
807.00,0.007
808.00,0.007
809.00,0.007
810.00,0.007
811.00,0.007
812.00,0.006
813.00,0.006
814.00,0.006
815.00,0.006
816.00,0.006
817.00,0.006
818.00,0.006
819.00,0.006
820.00,0.006
821.00,0.006
822.00,0.006
823.00,0.006
824.00,0.005
825.00,0.005
826.00,0.005
827.00,0.005
828.00,0.005
829.00,0.005
830.00,0.005
831.00,0.005
832.00,0.005
833.00,0.005
834.00,0.005
835.00,0.005
836.00,0.005
837.00,0.004
838.00,0.004
839.00,0.004
840.00,0.004
841.00,0.004
842.00,0.004
843.00,0.004
844.00,0.004
845.00,0.004
846.00,0.004
847.00,0.003
848.00,0.004
849.00,0.003
850.00,0.003
851.00,0.003
852.00,0.003
853.00,0.003
854.00,0.003
855.00,0.003
856.00,0.003
857.00,0.003
858.00,0.003
859.00,0.003
860.00,0.002
861.00,0.002
862.00,0.002
863.00,0.002
864.00,0.002
865.00,0.002
866.00,0.002
867.00,0.002
868.00,0.002
869.00,0.002
870.00,0.002
871.00,0.002
872.00,0.002
873.00,0.002
874.00,0.002
875.00,0.001
876.00,0.001
877.00,0.001
878.00,0.001
879.00,0.001
880.00,0.001
881.00,0.001
882.00,0.001
883.00,0.001
884.00,0.001
885.00,0.001
886.00,0.001
887.00,0.001
888.00,0.001
889.00,0.001
890.00,0.001
891.00,0.001
892.00,0.001
893.00,0.001
894.00,0.001
895.00,0.001
896.00,0.001
897.00,0.001
898.00,0.001
899.00,0.001
900.00,0.001
